prompt_id,class_name,split,angle,distance,lighting,weather,prompt
23,chichen_itza,test,side view,medium distance,sunrise,overcast,"Chichen Itza, side view, medium distance, sunrise, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
24,chichen_itza,test,aerial view,medium distance,sunset,overcast,"Chichen Itza, aerial view, medium distance, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
25,christ_the_reedemer,train,aerial view,long distance,sunset,rainy weather,"Christ the Redeemer, aerial view, long distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
26,christ_the_reedemer,train,street level view,long distance,daylight,rainy weather,"Christ the Redeemer, street level view, long distance, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
27,christ_the_reedemer,train,three-quarter view,long distance,sunset,rainy weather,"Christ the Redeemer, three-quarter view, long distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
28,christ_the_reedemer,train,side view,medium distance,sunset,clear sky,"Christ the Redeemer, side view, medium distance, sunset, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
29,christ_the_reedemer,train,street level view,close-up,daylight,overcast,"Christ the Redeemer, street level view, close-up, daylight, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
30,christ_the_reedemer,train,aerial view,close-up,daylight,overcast,"Christ the Redeemer, aerial view, close-up, daylight, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
31,christ_the_reedemer,train,side view,long distance,sunset,rainy weather,"Christ the Redeemer, side view, long distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
32,christ_the_reedemer,train,front view,close-up,sunrise,cloudy,"Christ the Redeemer, front view, close-up, sunrise, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
33,christ_the_reedemer,train,side view,close-up,daylight,clear sky,"Christ the Redeemer, side view, close-up, daylight, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
34,christ_the_reedemer,train,aerial view,long distance,sunset,overcast,"Christ the Redeemer, aerial view, long distance, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
35,christ_the_reedemer,test,street level view,close-up,sunrise,clear sky,"Christ the Redeemer, street level view, close-up, sunrise, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
36,christ_the_reedemer,test,three-quarter view,medium distance,sunrise,rainy weather,"Christ the Redeemer, three-quarter view, medium distance, sunrise, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
37,eiffel_tower,train,side view,long distance,sunset,rainy weather,"Eiffel Tower, side view, long distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
38,eiffel_tower,train,street level view,close-up,sunrise,rainy weather,"Eiffel Tower, street level view, close-up, sunrise, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
39,eiffel_tower,train,side view,medium distance,daylight,rainy weather,"Eiffel Tower, side view, medium distance, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
40,eiffel_tower,train,three-quarter view,medium distance,sunrise,overcast,"Eiffel Tower, three-quarter view, medium distance, sunrise, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
41,eiffel_tower,train,street level view,long distance,sunrise,overcast,"Eiffel Tower, street level view, long distance, sunrise, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
42,eiffel_tower,train,front view,medium distance,sunset,rainy weather,"Eiffel Tower, front view, medium distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
43,eiffel_tower,train,three-quarter view,long distance,sunrise,cloudy,"Eiffel Tower, three-quarter view, long distance, sunrise, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
44,eiffel_tower,train,front view,long distance,sunrise,clear sky,"Eiffel Tower, front view, long distance, sunrise, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
45,eiffel_tower,train,three-quarter view,medium distance,daylight,rainy weather,"Eiffel Tower, three-quarter view, medium distance, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
46,eiffel_tower,train,three-quarter view,medium distance,daylight,clear sky,"Eiffel Tower, three-quarter view, medium distance, daylight, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
47,eiffel_tower,test,aerial view,close-up,sunset,overcast,"Eiffel Tower, aerial view, close-up, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
48,eiffel_tower,test,side view,long distance,daylight,rainy weather,"Eiffel Tower, side view, long distance, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
49,great_wall_of_china,train,front view,close-up,sunset,rainy weather,"Great Wall of China, front view, close-up, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
50,great_wall_of_china,train,street level view,close-up,sunset,cloudy,"Great Wall of China, street level view, close-up, sunset, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
51,great_wall_of_china,train,street level view,long distance,daylight,cloudy,"Great Wall of China, street level view, long distance, daylight, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
52,great_wall_of_china,train,front view,long distance,daylight,rainy weather,"Great Wall of China, front view, long distance, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
53,great_wall_of_china,train,three-quarter view,long distance,sunrise,clear sky,"Great Wall of China, three-quarter view, long distance, sunrise, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
54,great_wall_of_china,train,front view,medium distance,sunset,clear sky,"Great Wall of China, front view, medium distance, sunset, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
55,great_wall_of_china,train,street level view,long distance,sunset,cloudy,"Great Wall of China, street level view, long distance, sunset, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
56,great_wall_of_china,train,three-quarter view,close-up,sunrise,rainy weather,"Great Wall of China, three-quarter view, close-up, sunrise, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
57,great_wall_of_china,train,aerial view,medium distance,daylight,clear sky,"Great Wall of China, aerial view, medium distance, daylight, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
58,great_wall_of_china,train,aerial view,medium distance,sunrise,overcast,"Great Wall of China, aerial view, medium distance, sunrise, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
59,great_wall_of_china,test,three-quarter view,medium distance,sunset,clear sky,"Great Wall of China, three-quarter view, medium distance, sunset, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
60,great_wall_of_china,test,aerial view,close-up,sunrise,rainy weather,"Great Wall of China, aerial view, close-up, sunrise, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
61,pyramids_of_giza,train,side view,medium distance,sunrise,cloudy,"Pyramids of Giza, side view, medium distance, sunrise, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
62,pyramids_of_giza,train,front view,medium distance,daylight,cloudy,"Pyramids of Giza, front view, medium distance, daylight, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
63,pyramids_of_giza,train,front view,close-up,sunset,rainy weather,"Pyramids of Giza, front view, close-up, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
64,pyramids_of_giza,train,aerial view,long distance,sunrise,cloudy,"Pyramids of Giza, aerial view, long distance, sunrise, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
65,pyramids_of_giza,train,side view,medium distance,sunset,overcast,"Pyramids of Giza, side view, medium distance, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
66,pyramids_of_giza,train,three-quarter view,close-up,sunrise,overcast,"Pyramids of Giza, three-quarter view, close-up, sunrise, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
67,pyramids_of_giza,train,street level view,medium distance,sunset,clear sky,"Pyramids of Giza, street level view, medium distance, sunset, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
68,pyramids_of_giza,train,side view,medium distance,sunset,rainy weather,"Pyramids of Giza, side view, medium distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
69,pyramids_of_giza,train,front view,long distance,sunrise,cloudy,"Pyramids of Giza, front view, long distance, sunrise, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
70,pyramids_of_giza,train,three-quarter view,long distance,sunrise,cloudy,"Pyramids of Giza, three-quarter view, long distance, sunrise, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
71,pyramids_of_giza,test,side view,long distance,sunset,rainy weather,"Pyramids of Giza, side view, long distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
72,pyramids_of_giza,test,street level view,close-up,sunset,clear sky,"Pyramids of Giza, street level view, close-up, sunset, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
73,roman_colosseum,train,aerial view,medium distance,daylight,overcast,"Roman Colosseum, aerial view, medium distance, daylight, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
74,roman_colosseum,train,three-quarter view,medium distance,sunset,cloudy,"Roman Colosseum, three-quarter view, medium distance, sunset, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
75,roman_colosseum,train,side view,close-up,daylight,cloudy,"Roman Colosseum, side view, close-up, daylight, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
76,roman_colosseum,train,three-quarter view,medium distance,sunset,overcast,"Roman Colosseum, three-quarter view, medium distance, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
77,roman_colosseum,train,three-quarter view,medium distance,daylight,overcast,"Roman Colosseum, three-quarter view, medium distance, daylight, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
78,roman_colosseum,train,street level view,medium distance,daylight,cloudy,"Roman Colosseum, street level view, medium distance, daylight, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
79,roman_colosseum,train,aerial view,long distance,sunrise,rainy weather,"Roman Colosseum, aerial view, long distance, sunrise, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
80,roman_colosseum,train,side view,long distance,sunset,clear sky,"Roman Colosseum, side view, long distance, sunset, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
81,roman_colosseum,train,aerial view,long distance,sunset,rainy weather,"Roman Colosseum, aerial view, long distance, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
82,roman_colosseum,train,aerial view,long distance,daylight,overcast,"Roman Colosseum, aerial view, long distance, daylight, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
83,roman_colosseum,test,aerial view,medium distance,sunset,cloudy,"Roman Colosseum, aerial view, medium distance, sunset, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
84,roman_colosseum,test,front view,medium distance,daylight,overcast,"Roman Colosseum, front view, medium distance, daylight, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
85,statue_of_liberty,train,aerial view,close-up,sunset,rainy weather,"Statue of Liberty, aerial view, close-up, sunset, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
86,statue_of_liberty,train,aerial view,medium distance,daylight,overcast,"Statue of Liberty, aerial view, medium distance, daylight, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
87,statue_of_liberty,train,side view,close-up,daylight,rainy weather,"Statue of Liberty, side view, close-up, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
88,statue_of_liberty,train,street level view,long distance,daylight,clear sky,"Statue of Liberty, street level view, long distance, daylight, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
89,statue_of_liberty,train,side view,long distance,sunrise,overcast,"Statue of Liberty, side view, long distance, sunrise, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
90,statue_of_liberty,train,side view,close-up,daylight,cloudy,"Statue of Liberty, side view, close-up, daylight, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
91,statue_of_liberty,train,street level view,close-up,sunset,overcast,"Statue of Liberty, street level view, close-up, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
92,statue_of_liberty,train,three-quarter view,long distance,sunrise,cloudy,"Statue of Liberty, three-quarter view, long distance, sunrise, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
93,statue_of_liberty,train,side view,long distance,sunset,cloudy,"Statue of Liberty, side view, long distance, sunset, cloudy, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
94,statue_of_liberty,train,aerial view,medium distance,daylight,rainy weather,"Statue of Liberty, aerial view, medium distance, daylight, rainy weather, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
95,statue_of_liberty,test,aerial view,long distance,sunset,clear sky,"Statue of Liberty, aerial view, long distance, sunset, clear sky, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
96,statue_of_liberty,test,street level view,long distance,sunset,overcast,"Statue of Liberty, street level view, long distance, sunset, overcast, professional travel photography, realistic photo, DSLR camera, highly detailed, natural colors"
